kode_wilayah,jenis,nama,parent_kode
BDG-SUKASARI-GEGERKALONG,KELURAHAN,Gegerkalong,BDG-SUKASARI
BDG-SUKASARI-ISOLA,KELURAHAN,Isola,BDG-SUKASARI
BDG-SUKASARI-SARIJADI,KELURAHAN,Sarijadi,BDG-SUKASARI
BDG-SUKASARI-SUKARASA,KELURAHAN,Sukarasa,BDG-SUKASARI
BDG-SUMUR-BANDUNG,KECAMATAN,Sumur Bandung,BDG
BDG-SUMUR-BANDUNG-BABAKAN-CIAMIS,KELURAHAN,Babakan Ciamis,BDG-SUMUR-BANDUNG
BDG-SUMUR-BANDUNG-BRAGA,KELURAHAN,Braga,BDG-SUMUR-BANDUNG
BDG-SUMUR-BANDUNG-KEBON-PISANG,KELURAHAN,Kebon Pisang,BDG-SUMUR-BANDUNG
BDG-SUMUR-BANDUNG-MERDEKA,KELURAHAN,Merdeka,BDG-SUMUR-BANDUNG
BDG-UJUNGBERUNG,KECAMATAN,Ujungberung,BDG
BDG-UJUNGBERUNG-CIGENDING,KELURAHAN,Cigending,BDG-UJUNGBERUNG
BDG-UJUNGBERUNG-PASANGGRAHAN,KELURAHAN,Pasanggrahan,BDG-UJUNGBERUNG
BDG-UJUNGBERUNG-PASIR-ENDAH,KELURAHAN,Pasir Endah,BDG-UJUNGBERUNG
BDG-UJUNGBERUNG-PASIR-JATI,KELURAHAN,Pasir Jati,BDG-UJUNGBERUNG
BDG-UJUNGBERUNG-PASIR-WANGI,KELURAHAN,Pasir Wangi,BDG-UJUNGBERUNG
